Tissue,Line,Harvest,Treatment,Mg AVG,Mg SE,P AVG,P SE,S AVG,S SE,Ca AVG,Ca SE,Mn AVG,Mn SE,Fe AVG,Fe SE,Co AVG,Co SE,Ni AVG,Ni SE,Cu AVG,Cu SE,Zn AVG,Zn SE,Cd AVG,Cd SE
1_Root,3_Line 428,1_Vegetative,3_c0z10,2021.031065,52.98528815,7521.043529,816.1513003,3245.629499,101.1250121,8553.000403,1363.489674,15.14214626,3.552059744,983.1680237,108.3052912,13.98713164,1.625301345,49.86697373,8.966492146,75.7437735,2.880384256,227.2569268,25.469974,0.595962958,0.362349352
1_Root,1_Line 546,2_Anthesis,3_c0z10,1323.101199,339.0130189,12186.5734,6847.469053,3240.816073,248.752981,19287.61619,15371.0605,26.48706744,8.033181716,3753.139643,1177.272176,45.89808012,2.90671959,16.15122441,1.716243146,120.2978754,44.13527448,769.4870647,194.0910904,2.916309958,1.45659692
1_Root,2_Line 667,2_Anthesis,3_c0z10,1852.471151,249.1308621,18851.93143,5288.122712,4828.432763,243.1212338,35356.49225,11764.40951,23.31193865,4.679508394,1529.998956,117.1022234,7.771845713,2.086329995,15.88277645,6.431986155,83.5629432,13.24129477,546.2107759,79.70796223,0.9991096,0.347324596
1_Root,3_Line 428,2_Anthesis,3_c0z10,2422.527043,195.2067393,26120.90269,3924.968835,4469.854547,251.7969049,49208.52189,8172.18924,19.77623067,1.896569582,1662.601095,205.8431183,11.20757888,2.681756039,12.76101012,0.526809222,29.20127888,4.98387799,574.6904328,41.89830183,0.232487527,0.017801676
1_Root,1_Line 546,3_2WAA,3_c0z10,2754.144011,911.209023,18664.06738,12973.67187,3980.508598,1503.035069,35779.97989,25738.09037,20.21595397,8.112870897,1571.64066,607.3779632,26.53392264,3.330203408,45.50219475,36.72726799,101.8796409,54.72048774,657.5401334,414.7651155,1.052228933,0.767460262
1_Root,2_Line 667,3_2WAA,3_c0z10,2570.901201,293.9999595,35753.86394,4743.963889,6657.821041,908.7881875,62615.47704,10600.13201,29.04849675,4.684653627,2366.114958,416.7436436,16.13950887,2.416022002,13.10734672,2.703270508,40.37444225,10.21645054,914.9918895,349.6891702,3.017301522,2.705432845
1_Root,3_Line 428,3_2WAA,3_c0z10,1985.878052,288.5177941,29285.37857,5527.093018,5082.400867,372.4151791,51152.64383,11410.0613,22.54201802,4.94972517,1887.95896,450.7490387,9.992551064,2.981947787,21.42684448,2.589560934,114.1554026,24.23512093,1139.330698,210.7559305,0.456591753,0.069142564
1_Root,1_Line 546,4_4WAA,3_c0z10,1724.304333,298.9616032,11660.91436,2838.01846,4032.053232,360.1521098,23445.47204,6671.919028,22.16563977,2.146638478,4034.799683,1344.039959,43.44823342,8.713516361,15.82155932,1.071523617,275.9147917,88.95608586,786.7048998,101.3376607,2.922160855,0.478477691
1_Root,2_Line 667,4_4WAA,3_c0z10,1804.861535,213.9982056,35005.13591,7853.989199,4256.96406,790.2227891,6746.587462,2404.780883,25.90261997,4.475840112,1045.268586,342.1416742,5.861796383,1.13516764,22.35926011,3.110722435,111.0696004,12.32692419,1070.144149,136.7638393,0.555532988,0.133091599
1_Root,3_Line 428,4_4WAA,3_c0z10,3133.866376,554.6477981,41451.89526,10154.70625,5838.670288,404.2922358,13942.76526,2334.812772,27.2574224,6.026203326,1908.423721,130.736828,10.77997903,1.058318652,16.38486345,0.55142802,112.7812038,5.221775603,1692.538912,102.6344388,0.635108771,0.109116416
